"","X","reviews","ratings"
"13",13,"What Is Most Attractive Are The Non-Conformed Elements. A Quietly Brooding Piano Soundtrack, The Resounded Fatefulness Of Each Character & A Director Who Knows What He's Doing. A Devious But Deeply Thought-Out Take On American Deprivity.",4
"14",14,"Slow moving, but really quite enjoyed this. Interesting story about a writer who returns home to visit his mother after a professional set back. He revisits the girl he left behind and gets into more than he bargained for with the neighbour, a 57 year old man who has never left home and has a few issues of his own. 
Definitely an original story, and the usual good acting you can expect from Martin Donovan.",4
"15",15,"watching this was a powerful experience for me. Thank you.",5
"16",16,"Why is this listed as a comedy?",4
"17",17,"Wednesday, December 11, 2013

(2012) 
PSYCHOLOGICAL DRAMA/ THRILLER

  Written, directed and starred by Martin Donovan centering on a situation, he plays screenplay writer Robert Longfellow who upon coming home to visit his mother for reasons unclear.  But for the first 30 or 40 minutes into the film Robert revaluate old times including a publicized widowed actress who he still has feelings for.  And then his neighbor Gus (David Morse) who lives across the street from him takes him hostage.

 I liked the bonding scenes when Robert converses with Gus about how to become a successful screenwriter, but the ending is a real downer which the center character leaves viewers somewhat wanting to know more.

2 out of 4 stars",2
"18",18,"Fascinating character study, highlighted by strong performances from Martin Donovan and David Morse. Also written and directed by Martin Donovan, it's kind of stagey at times but ultimately quite satisfying.",3
"19",19,"Hm, this movie follows a path the viewer is not expecting, at least I didn't. It wasn't a good choice in my opinion, because in essence, the initial path until that moment, the first half of the movie, was an entertaining and interesting one. The character built-up was short, but effective, and the acting from both main character Robert (Martin Donovan) and loser Gus (David Morse) was very good. The mentioned choice for a no-win stand-off with the police instead of an interesting fling and movie idea with a hollywood hottie was a poor one. Sure, it had it's positive moments as well. For instance, it was at least a concious choice which the movie put all their effort in, leading to good and thought- provoking acting scenes. However, the police stand-off choice predominantly had a negative effect on the films quality. For instance, the many phonecalls that interrupted the whole thing and thereby the lacking the physical contact between those calling characters made it all feel a little fake and made-up. The worst thing: we didn't get to see what kind of relationship Robert had with his old flame or what his family meant to him. Nothing of that anymore, just a hurt wife and worried ex. Having said all that, I really need to say this movie was entertaining and good, just not an exceptional one.",4
"20",20,"excellent, i really enjoyed it.it's about this scumbag who takes a guy hostage who he bullied in scool and all he wants to do it drink with him.it' was pretty fucking funny.",4
"21",21,"I suspect that this is just one of those movies that is either loved or hated. But no one can deny that Michael Tully and his artist pals have created a truly odd movie that is as creepy as it funny. There is also something interestingly ""real"" about this ""family"" of men gathered together just off the back roads of American culture. Robert Longstreet is most especially brilliant as ""Ezra"" --- a performance that goes far deeper than the movie itself. Longstreet fully fleshes out an individual who has pushed his latent sexuality and his grief so far down into his psyche that he essentially not only taken on the role of ""mother"" --- but seems to be turning into a skewed version of who he perceived her to be. Beyond strange, twisted and unusual experiment within the very loose framework of a dark comedy always on the verge of attacking the audience. I consider this to be a must see film.",4
"22",22,"This film is bizarre and wonderful. The acting is phenomenal, and the characters are strange.  Robert Longstreet is a versatile and talented actor.  What is it about remote rural areas that is so haunting?  I suppose it is all the things that can be hidden there and kept secret for a very long time, only to return at the least expected moments, much like brother Cornelius.  Don't analyze it - the movie puts all its cards on the table.  Don't look for holes in the plot.  Just let the weirdness, the pain, and the healing wash over you.",4
"23",23,"An awkwardly good movie",4
"24",24,"There were some twisted minds that came up with this film. Fortunately, they did not push it too far. I was a tad worried as the opening scenes showed the artwork of Amos, which is some messed up stuff. The characters in this were totally original, the storyline is dark and so many scenes make you wonder if the film is going to turn a sinister corner att any minute. After all that anticipation, the ending was a bit of a let down but it has to be said, full marks for originality.",4
"25",25,"(*** 1/2): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]

A very strange, original and funny film.",5
"26",26,"I was immediately drawn into the film  as the beginning credits were rolling because of the Bizarre yet Fascinating artwork that was featured. As I watched I realized they were painted by a main character the film surrounds itself around.
The art was genius in a sick kind of way.
The story focuses on 4 brothers who all have serious issues that slowly unfold as the film progresses.
One of the brothers returns after being gone for fifteen years and is welcomed back like it had only been a time span of six month or so.
I don't want to reveal much but it was billed as a Horror film ,I would not say it was in any kind of Horror Sub Genre but a mystery,Psychological drama with just enough Black comedy thrown in to keep it balanced. Listen very carefully to some of the dialogue and your jaw will drop plus there are a couple of scenes that are jaw dropping as well.
I was sucked in and even though it was quite slow paced I didn't even want to stop it for a bathroom break afraid I was going to miss the big payoff.
By the end you pretty much figure out what is and what isn't and the way they slowly slipped in pieces of the puzzle was subtly genius",5
"27",27,"Decent-ish Southern Gothic.",3
"28",28,"A deranged movie for deranged people like me..lol Didnt hate it surprisingly but didnt love it...",3
"29",29,"I was flipping through the movie channels looking for a movie to watch.The description said *After 18 years a man returns home looking to seek revenge on the town that wronged him with the help of his 2 deranged brothers-Horror* I thought now that sounds AWESOME!!! After watching  I thought WTF!? This was NOT a horror flick.It wasn't scary.It wasn't gory.It was a rip off! It was way different then what I expected.It was weird & a waste of time & I was majorly disappointed",1
"30",30,"The description for this on TimeWarner, Sundance Channel, Free On-Demand claims that this is ""a mysterious horror movie"" and it hints at ""an act of revenge"" and that ""the town will never be the same.""

They only thing mysterious is how the person writing the description made the grievous error of typing ""horror"" when it should have said h ""horrible."" 

I would like to commit an ""act of revenge"" because I ""will never be the same"" for the 79 minutes of time I lost.

The only reason that I even gave it a single star is because I liked the cartoon-like paintings of people & demons chopping off their wieners & eating poop.",1
"31",31,"A chimpanzee can teach us the meaning of being human 
Director James Marsh helms the story of Chimpsky, a baby chimp separated from his mother and other siblings at a young age in 1973
Communicating with a chimpanzee became a landmark experiment and Stephanie Lafarge does just that just coming out of Columbus University 
Her daughter Jenny Lee even shared her insight on the whole experience 
It's rocky at first but that's all part of it; things like this take time to develop that special bond 
This documentary explores the language humans share with animals but with Nim it's all about establishing a relationship based on sign language 
Nim wasn't a pet but treated like an actual member of the family 
He could sense others feelings but also be kinda mischievous 
Yet as an animal he's still capable of going wild at any time, Nim would get temper tantrums and go on a rampage 
Nobody keeps a chimpanzee fit more than 5 years because they can be very unpredictable with their strength and behavior 
This ape would test the nature vs nurture hypothesis making headlines and media coverage
By the 1970s Nim's attitudes started to change drastically and extra precautions had to be taken 
Chimps are like us being very hedonistic 
The documentary is shocking, beautiful, awespiring, warm, and tragic 
There's a bond between man and animal that is fascinating to learn about despite all its shortcomings 
No one says it'll be easy as it takes patience, commitment, dedication, tolerance, and authority 
Nim is a unique case study because he's more than just a wild animal and shows how we all treat animals attempting to avoid the darker side of human nature",4
"32",32,"Movie made me angry.  The psychologist should have been caged.",5
"33",33,"An amazing documentary with a revolutionary true life study.  Quite heartfelt as well",5
"34",34,"Good but infuriating documentary. There's a deep irony in these humans trying to investigate an animal's capacity for higher functions while they themselves fail to plan or communicate properly or be self-aware. ",4
"35",35,"This movie is on like any other documentary, very intellectually simulating.",5
"36",36,"This was BEYOND sad.  I've never wanted to unwatch or unknow something so much.  It is a display of how terribly misguided academia can be and the pompousness of the professor?  I simply could not believe that an animal acting like an animal was considered to be ""acting up"".  Poor Nim.  (And poor Nim's mother...SIX taken away?)  I wish I had not watched this.  I'll be sad for days.",1
"37",37,"Just trying to live together as though equally human is itself its own form of cruelty let alone the confinement & deprivation imposed on almost all undomesticated chimps held in captivity. Set them free. Just, set them free. There is no such thing as a humane experiment. Just set them freeeee & preserve & defend that freedom.",5
"38",38,"""ABSORBING | EXTRAORDINARY | HEART-BREAKING | INCREDIBLE | MAGNIFICENT"" (94-out-of-100)",5
"39",39,"On the surface, James Marsh's Project Nim, is about a group of people's quest to teach a chimp sign language. And if it was just about that, it probably would have been a great documentary. But it touches on so many other, very meaningful themes-most notably, abandonment and selfishness-that one can't help but admire the hell out of it. It's actually the film's human characters that ultimately come under Marsh's microscope, and what we see isn't pretty. It is, however, very powerful. I wasn't as enamored as many others were with Man on Wire, Marsh's previous feature, but Project Nim is sensational.

Nim Chimpsky is the name of the film's featured primate. He was born on a reserve but moved at a very early age to a Manhattan brownstone where he was to be raised as a human child in a classic test of nature vs. nurture. The experiment's administrator is Dr. Herb Terrace, but he stays hands-off for the most part, instead relying on several different research assistants and students to look after and raise the chimp. They begin teaching him sign language, and a great deal of progress is made (Nim dresses himself and seemingly mirrors the emotional growth of a human toddler).

Despite the obvious intelligence and self-awareness that Nim shows, he's not entirely able to give him his natural tendencies. He bites when he doesn't get what he wants, causing more than one caretaker to leave out of fear of getting hurt. This, in turn, causes him to be moved from his first home into a more secluded one, and ultimately from that home back to the reserve where he came from.

What's sad is that these people can't seem to grasp that Nim isn't a person. He doesn't know any better. Yes, he's smarter than most chimps, but he proves completely unable to create a coherent sentence, nor can he express anything that isn't a statement of want or need. Nim isn't a conversationalist, which was ultimately what Terrace was going for. But does the chimp's failure to comprehend mean he deserves to be completely abandoned? Of course not, yet that's what most of those who raised him do.

Politics, money, infighting, and some twisted personal morals and boundaries ultimately stop the formal experiment and serve as the catalyst for Nim's abandonment. Nim acts out, but not in such a way that he can't be looked after. At his reserve, he thrives in the care of a kindly and patient hippie. But he's visited only once by someone from his childhood-Terrace, who goes only to get pictures and video of him with the chimp. Watching Nim rejoice upon seeing him is tragic because we know how it will end. And seeing the way Terrace later writes Nim off because the experiment didn't play out the way he wanted it to is a little sickening.

Project Nim, unlike some of the year's other great documentaries, was shortlisted for the Academy Awards, but it was ultimately left off the final list of nominees. Marsh isn't a big name like Errol Morris or Steve James, but he's now made two very good-to-great documentaries in just three years. He also directed one of the Red Riding Trilogy films, and had a narrative feature (Shadow Dancer) debut to good reviews at Sundance this year starring Clive Owen and Andrea Riseborough. So in addition to being a fantastic film, Project Nim does something else: It puts all film writers on notice. Any list of the best working filmmakers (or promising up-and-comers) is incomplete without the name James Marsh on it.

http://www.johnlikesmovies.com/project-nim/",4
"40",40,"Very cute in the beginning, but maddening towards the end when they start harming the monkey. Very good documentary that shows the outward display of emotion from one monkey",5
"41",41,"It was rotten and it sucks",1
"42",42,"I usually don't condone any movies which feature talking animals but Kevin James is usually genuinely funny so I didn't hate this.  At the core it's a nice little romantic comedy wrapped in a somewhat annoying talking animal blanket. Pretty insane voice cast with Adam Sandler, Sylvester Stallone and Cher among others.  Rosario Dawson, Leslie Bibb, Joe Rogan and Donny Wahlberg make up the human cast. 
Harmless fun for the entire family.",3
"43",43,"Don't bother bringing the kids; the movie isn't intended to entertain them. It's a romantic comedy with the gimmick of talking zoo animals.

So how is it on its own merits? The plot is utterly predictable: boy falls in love with girl, girl rebukes him, years later they reconnect, boy finds girl doesn't suit him and he finds someone else he had known all along who was more his type. The zoo animals, who knew how to talk to humans all along but kept a code of silence, break it to talk to Griffin to help his love life because they like him so much, though their advice fails to help him in that regard. Only the gorilla ultimately provides real help to Griffin by helping to intercept his intended girl before she can leave him forever. There is some (but fortunately not excessive) scatological humor, and others that rely on pratfall comedy.

Overall: mildly entertaining for adults, but not really witty or exciting.",3
"44",44,"There are worse ways to spend an afternoon. Talking animals are normally super cheesy but they do it well here with some adult humor and subtle jokes. Mostly goofy slapstick comedy but its ok.",3
"45",45,"5 stars for being one my tween and I could make it through together. This is very important in a family film, because we don't usually sit through a full movie anymore, as most family movies are too baby for the kid, and yet most PG-13s (Chuck and Larry No No No) are just !!! and the kid will ??? and I have to, ""Pure male fantasy"" and the kid always ""I know that already!"".

I'm glad my kid likes video games more, and my nostalgia for these things is sure to peter out, but in the meantime--it's a cute, family film with Cher in her true form as a lioness, and Joe Rogan pre-Triggering and all Fear Factored out on the dance floor (if that hasn't been meme'd out it needs to be, 'cause Joe is posing up a storm like a true queen!).",5
"46",46,"another terrible movie by Kevin James, silly and silly and half tacky script, characters without emotions and nothing funny, cast even asilable.",1
"47",47,"I remember my family forcing me  to see this film cause my brother really wanted to go to it. This was legitimately the first movie where I felt I had to force a smile while watching it. My biggest issue, outside of the fact that it's not funny in the slightest, is that the voice acting for the animals was beyond horrific. They were times where it felt like they came into the studio drunk as many of the lines were mumbled and borderline incoherent. It's not even one of those ""bad movie night"" type of films, just one you should avoid at all costs",1
"48",48,"Good watch, could watch again, and can recommend.

Kevin James and Rosario Dawson give a good carry, though they have an excellent range of supporting characters and then Adam Sandler as the voice of most of the animals.

While I would prefer him to lose his mind about the animals talking to him, we instead get a ""Do Little"" approach where Leslie Bibb and Rosario Dawson fight over a middle aged fat guy without big money.

With a certain suspension of disbelief in place, you can really turn your brain off and enjoy this, and the zoo setting add some fun, if ridiculous situations.",3
"49",49," is about a  that is trying to win the love of his live and the animals want to help because they love him and so they talk to him in English and try to help him get the love of his live.",3
"50",50,"Entertaining in a slapstick kind of way. Animals talk to their favorite  and help him get his girl. A few funny skits.",3
"51",51,"The first-ever Rom-Com I have ever seen. This stars Justin Timberlake and Mila Kunis. The film starts off with the two both in heartbreak after their current relationships ended. The two have an unconventional relationship but at the very end of the film, they realize they want each other. It was cooler when I first saw the film but its rather mediocre. It's still cool and it sparked the idea of true romance between two individuals in film. Film is funny for sure.",4
"52",52,"Trying to be too smart for its own good, but actually being a decent basic rom-com, which is enough for what it is. Embrace the basicness, movie!",4
"53",53,"The film is probably what one would expect it to be, a decently funny and somewhat endearing rom-com, but nothing very original. Timberlake and Kunis are fantastic in the film and their chemistry is great, however their characters are not super emotionally investing and a bit bland. The film is mostly quite funny and this makes it entertaining.
However, not all the jokes land, with some being already outdated. The storyline itself also straddles the line between being too cliched and a self aware level of cheesiness. There is an attempt at satire here, but it doesn't succeed. Without thinking too hard, the film is perfectly enjoyable,
7/10",4
"54",54,"Another romcom plot,unoriginal, you know the end at the start of the film.
Really poor plot.",1
"55",55,"Just your average rom com.",2
"56",56,"Mila saying ""oopsie...!"" Pretty much brings out what our minds experience watching the story uncovering. Did not expect to find a gem that I'll need rewatch a few times. Twisted and tangled in an emotional connected friendship that grows deeper day to day against their own will. 

I do thinks it's important to note, that about 1:07:30 when Justin says: ""But I thought you said.. I know what I said"" Mila should've  said the second part not Justin. Though, it dozens make it less enjoyable to watch.",5
"57",57,"Starts off pretty well, and around 3/4th of the movie was really good with smart writing. It is a shame that the film ended up going towards a sterotypical romantic ending. If you want a slightly better movie on this genre, watch Maniratnam's OK Kanmani.",2
"58",58,"Just Timberlake and Kunis in a superflous rom-com-drama but at least the erotic scenes are well-improvised",4
"59",59,"Friends with benefits is a fun clichéd comedy filled with relaxed moments with the company of Justin Timberlake and Mila Kunis.",5
"60",60,"Such a good movie! I you love rom com you will love this!",5
"61",61,"For an early 2010s action film, I expected a lot more action, but instead, I got an underwhelming story with even more underwhelming causes and effects.",2
"62",62,"A good action film and Zoe saldana plays a great character...",4
"63",63,"The critics on RT are clueless. this is a great movie if you enjoy violent action!",5
"64",64,"Rotten Tomatoes has a minimum word review policy. I got it down to one...Crumbiana.",1
"65",65,"This was a really good movie. Action packed, and a great storyline. Really enjoyed it.",4
"66",66," was a really fun movie to watch. I saw it when it first came out. It was a lot of fun to watch. I really liked all of the action scenes. Zoe Saldana is a really awesome actress. This movie allowed me to see a little bit of what Colombia is about. I don't think Colombia is really like what they show in the movie, , but I have not been there. I have been to Costa Rica and Nicaragua, which is part of Latin America and it was nothing like any of the scenes in .",5
"67",67,"Zoe Saldana is the wrong person for this role, she doesn't have the build to be playing a hitman out for vengeance. Half the weapons that she operates in the film are twice the size of her. A lot of the script is lazy and tired.",2
"68",68,"Just an absolutely terrible movie.  Scene after scene just make no sense.  I found myself constantly asking myself why a character would do what they did or saying to myself that's just not how reality works.  The whole movie is just bafflingly stupid.   I don't understand what the writers or director where thinking and it's amazing anyone would have produced this awful thing.  The only good thing about it is that it didn't manage to ruin Zoe Saldana's career which by all rights her involvement in this should have.",1
"69",69,"Critics panned it for being choppy and sloppy film making and they're not wrong, technically, but I enjoyed it the first time I saw  and it only got better the second time. One of the oldest story-lines, revenge, still somehow feels fresh here thanks to a strong performance by Zoe Saldana and an impressive supporting cast. I thoroughly enjoyed the cat-and-mouse subplot with the assassin (Saldana) and the Federal agent (Lennie James) always just one step behind. Full of great action sequences, this movie is good no matter what your mood.",4
"70",70,"Give me back my time. At least the main actor looks great.",1
"71",71,"It fits the franchise's mould of 'death getting its revenge' and yet feels expensively cheap, a double negative that unfortunately sums up this mess. But, hey, I watched the first four and will probably watch the next too. That's got to say something.",2
"72",72,"I'm not a gore for gore's sake viewer, but when special effects are done in a reasonable plot, why not?  Violence NOT showing the actual damage that would be done is not good for society...makes youth not understand the real consequence.  For pure entertainment, I liked this movie.",4
"73",73,"Much better than the absurd fourth film, Final Destination 5 returns to a tone that's closer to that of the first two movies, adds new rules to the mythology, has very intense sequences building up to character's deaths, features good use of special effects and non-gimmicky 3D especially during the premonition sequence, more consistently funny black comedy and the return of Tony Todd as Bludworth. To cut a long story short, while the acting isn't always great and the characters aren't that memorable despite being better than their predecessors from ""The"", the fifth instalment in this much-better-than-average slasher series does what most final chapters in that horror subgenre struggle and fail to do: end things on a high note. And critics actually kinda liked this movie according to the Tomatometer so it must be true...though I encourage forming your own opinions over ""Reviews are the Gospel"".",4
"74",74,"Surprisingly not bad.",3
"75",75,"The usual horror of people escape death and then death find them with a twist at the end, that you don't see coming.
I gave it an half star because of that twist.",3
"76",76,"A surprisingly decent fifth entry. While my expectations were not set too high, they were succeeded with this film. The story is well constructed, yet possibly tiresome due to the other four installments, and the CGI was fantastic for its time. By today's standards, the special effects don't hold up in its entirely, although they're far from bad. The twist in the ending is guaranteed to be shocking to fans and viewers of the first film. -Fennett",3
"77",77,"Bad actors playing crappy characters you couldn't care less about. Weird tone, more boring and comical than creepy. Overly gory and cheap looking cgi deaths that are more drawn out and mean spirited than necessary. And a beyond stupid finale where deaths menacing presence is replaced by a dude with a gun and knife.",1
"78",78,"This is probably the last Final Destination film that I saw and it's sad that we're not gonna see a new entry of it again after this. We won't see another batch of Teenagers or another group of young adults trying their way to escape death and we won't see handsome leads again in this franchise. There's a lot of opportunities that they didn't do in the previous films that they could if this film will be followed by another one. Like it's already 5 films in the series but the filmmakers still haven't made a scene where there's a young boy who will touch the private part of the main leads or one of the handsome characters of those two films with female leads. I wish they made a scene here where a young boy customer will suddenly touch Peter's crotch on his own restaurant or a young boy sitting next to Sam at the plane before the inevitable cgi accident like how these two cool young adults will gonna react on the young boy's behavior towards them?",5
"79",79,"uma das piores franquias do cinema, quando parece que vão chegar em algum lugar conseguem estragar, incrível como esse roteiro é porco",1
"80",80,"One of the stronger sequels to the original. Casting was great here and the CGI is impressive. Gorey and bloody with lots of tension and scares. The death scenes are always so unique with Final Destination. Give it a shot!",4
"81",81,"Incredible visuals with a mesmerizing performance by Andy Serkis. The Planet of Apes trilogy starts off decent.",4
"82",82,"This movie made me want to see the rest of the trilogy. (Yes, trilogy, because the irrelevant 2001 Wahlberg attempt lacked intention and was abandoned as a franchise reboot.)
These are already on your watchlist, why are you reading this? :P",4
"83",83,"Best comeuppance movie ever. This is a heartbreak train- if you didn't like the animal testing and captivity, remember that that's exactly what it's like for animals in real life.",4
"84",84,"Big fan.. Caesar is a king of his people. Liberator, what not to like about this film ",5
"85",85,"Watched it at the cinema twice in the first week of release. Loved it. ""No!"" still gives me chills.",5
"86",86,"From the action, drama, and visual effects, Rise of the Planet of the Apes is a surprising well written reboot for the Planet of the Apes franchise. <U+0001F98D> <U+0001F9A7>",5
"87",87,"esta película es genial con unos efectos especiales impresionantes",5
"88",88,"Impressive special effects and a great performance by Andy Serkis keeps this franchise rolling in the right direction.  Caesar's prison conversion to charismatic pan-ape revolutionist is silent filmmaking with simple and precise images illustrating Caesar's General like divining of personalities and taking chaos and making it order.",4
"89",89,"Great story line and easy to get emotionally attached to characters stories as they develop throughout the film.",4
"90",90,"An entertaining origin story, combined with Wyatt's direction, Jaffa and Silver's script, the performances of the cast, Doyle's score, Lesnie's cinematography, Buff and Goldblatt's editing, Paré's production design, Wilcox's set decoration, April's costume design, action sequences, sound design and visual effects, Rise explores thought provoking themes whilst providing this reboot with a heart and soul all its own!!!",5
"91",91,"Great movie with lots of depth.",5
"92",92,"Touchant, très bien joué.",5
"93",93,"Wife and I completely enjoyed it!",5
"94",94,"A fine piece by Canadian film Industry. Gentle touch of reality through a fiction tale. Remarkable direction and rhythm. Just a little bit more of dramaturgy to be an astonish movie. ",4
"95",95,"This gentle and thoughtful little story about grief, find all its power in the simple complexity of emotions. The film does not really bring anything new to the table, at least as the story line goes, but the poetry and the fragility of the characters (young and old) will dig deeper than expected.",4
"96",96,"A slight film in many ways but one that holds your attention throughout and raises questions about loss, grief and the teacher/child and parent/child relationship.  It never quite raises above being a curious and interesting piece but it's still an engrossing watch.",3
"97",97,"A primary school teacher hangs herself in her classroom. The kids are shocked, the employees are devastated. They want to keep it low-key, both for the kids and the community, but they do need a replacement. 

Out of nothing comes Lazhar. He is really good with the kids, he cares for them, he teach and change their minds and visons. He is a refugee from Algeria, where he never had any teaching experience at all. In short - he should not lead a class, at least not on paper. OK film that really shows many aspects of being a teacher. The placing of knowledge comes in some place after after morals, values and human emotions.

Never flat, time flew by, but sadly it's never any hights or big conflics that really engage here. It could actually have been a bit longer - something I rearly wish for.

6.5 out of 10 violets.",3
"98",98,"At its core, it's a story about coming to terms with severe grief from traumatic events, from the perspective of both adults and children, and how they can or should help each other. Written and directed with subtlety, 'Monsieur Lazhar' has an appropriately bleak feel to it and forgoes any sort of melodrama, opting instead to concentrate on capturing a, perhaps, more realistic version of events that unfurls in a natural manner. However, that also means that there were very few truly affecting scenes, bar one or two where raw emotion was on display. Add to that the somewhat bland characters and you have a well-meaning and realistic-feeling story that simply isn't as touching as it should be.",3
"99",99,"This is an enjoyable Canadian French-language film. When a popular primary school teacher dies suddenly, Mr Lazhar, a recent Algerian immigrant, approaches the school in the hopes of filling the teaching position. This film follows him as he tries to help the children deal with their grief and loss of their teacher while he also deals with his own fight to seek asylum and gain permanent residency.",4
"100",100,"Toda una clase de guión e interpretación. Un discurso a la impotencia llena de brillantes matices salpicados de inocencia, este film es un poderoso discurso a la vida. Dirigida con una maestría inaudita, obsesionada con el detalle, ""MONSIEUR LAZHAR"" es una obra maestra que usted no puede dejar pasar. Una oda a la educación llena de realismo, inteligencia y pureza cinematográfica.",5
"101",101,"Me encanta esta película, todas las tramas, subtramas son muy interesantes, los diálogos son buenos, la comedia está en la medida justa, los vestuarios muy bien hechos y las actuaciones son supremas, especialmente la de Bryce y la de Octavia (muy merecido ese Oscar). La historia que más me gustó en lo particular fue la de Minny y su amistad con Celia, creo que las protagonistas terminaron completamente opacadas.",5
"102",102,"Glossing over racial themes, the cast is absolutely brilliant, particularly Viola Davis.  An old fashioned film we rarely get these days that will make you laugh but also break your heart.  That being said this fits into the, ""white savior narrative,"" column that at this point is just completely unacceptable.",4
"103",103,"I really loved this movie. Viola Davis and Octavia Spencer gave us wonderful perfomances. Absolutely worth watching!",5
"104",104,"Entertaining, informative and above all excellent. The excellent performances, the very good screenplay and excellent production. Honestly an excellent movie, even though it is undervalued for the issues of racism, there is no doubt that it is excellent with excellent values <U+200B><U+200B>that the world needs. Recommendable. It's one of my favorite movies and I really liked it.",5
"105",105,"It's hard to live up to the book, but this one comes the closest.  Strong performances by the cast always helps.",4
"106",106,"A softer approach on the tough subject of racism but it is beautifully done. The cast does a really good job and Davis is absolutely topnotch in this.",4
"107",107,"heavy on the racial politics but still worth watching.",4
"108",108,"I really enjoyed this movie. All performances were exceptional, especially Octavia Spencer and Viola Davis, their actings were outstanding. It depicts well the racism, discrimination, snobism , and hypocrisy of upper classes. Is at the same time moving, funny, and very profound. Highly recommended.",5
"109",109,"An incredible film that is equally heartbreaking and heartwarming. This is incredible cinema and I cried multiple times at the end, even over simple acts of kindness particularly when Chastain's character gives a maid an entire meal as a gift. Those simple acts of kindness and equality towards the black people who were treated awfully throughout the film really made this an incredible experience. Bryce Dallas Howard's character is despicable and Emma Stone is quite good as well, but the heavy lifting here is done by Viola Davis (who's final scene made me cry as well), and Jessica Chastain and Octavia Spencer, particularly when they're scene partners. Just really incredible and all 3 deserved their Oscar nominations. Allison Jamey did a nice job too, and the powerful themes and messages in this film are astounding and timely, especially now due to the BLM movement and the police brutality. Astonishing and a must watch",5
"110",110,"I always enjoying watching this movie. Something I can watch again and again and never get sick of. Great performances from incredibly talented actors. The film will no doubt make you laugh with its array of characters but also make you cry like no other.",5
"111",111,"Great move! Full of action, violence, and even a little bit of romance. A perfect revenge story!",5
"112",112,"This movie was a masterpiece way ahead of its time. I would love to see a TV series about Conan that is as awesome as this movie.",5
"113",113,"Just one of my favorite all time movies.",5
"114",114,"I have watched this movie more times than I can count, and with every viewing it gets better. James Earl Jones is a perfect villain, and his voice when he stares off in the distance and says ""They shall drown in rivers of blood"" is perfect. Arnold is great as well; his scowling and frowning are perfect for the character. Yes it's a little corny sometimes, but it's from 1982 so that's to be expected. I don't think this movie could be redone today, with any actors or any budget, and be improved upon. For what it is, it's perfect.",5
